day,metric,mean,q025,q975,date,specialty
54,nwl104_total,0,0,0,20/11/2022,ENT
54,nwl52_total,419,419,419,20/11/2022,ENT
54,nwm104_total,1,1,1,20/11/2022,ENT
54,nwm52_total,91,91,91,20/11/2022,ENT
54,nwm78_total,1,1,1,20/11/2022,ENT
54,rtt_maxwt,40,40,40,20/11/2022,ENT
54,rtt_meanwt,29.333333333333332,29.333333333333332,29.333333333333332,20/11/2022,ENT
54,rtt_medianwt,38,38,38,20/11/2022,ENT
54,rtt_nwm78_total,1,1,1,20/11/2022,ENT
54,wl_size,511,511,511,20/11/2022,ENT
55,nwl104_total,0,0,0,21/11/2022,ENT
